OBJECTID	NAME	TYPE	OSM_ID	COMMUNE	SECTION	E1000	N1000	GZD	GRID100K	MGRS
50	Maternité de Pétion-Ville	hospital	617530794	PETION-VILLE	BELLEVUE CHARD	86	49	18Q	YF	18Q YF 8649
51	Maternité de Pétion-Ville	hospital	617530794	PETION-VILLE	BELLEVUE CHARD	86	49	18Q	YF	18Q YF 8649
52	Maternité de Pétion-Ville	hospital	617530794	PETION-VILLE	BELLEVUE CHARD	86	49	18Q	YF	18Q YF 8649
53	Maternité de Pétion-Ville	hospital	617530794	PETION-VILLE	BELLEVUE CHARD	86	49	18Q	YF	18Q YF 8649
650	Maternite Matthieu	hospital	618010517	PORT-AU-PRINCE	TURGEAU	82	51	18Q	YF	18Q YF 8251
663	Maternitie de Christ Roi	hospital	618134714	PORT-AU-PRINCE	TURGEAU	83	52	18Q	YF	18Q YF 8352
1298	Mathieu	hamlet	617383872	LEOGANE	BEAUSEJOUR	64	39	18Q	YF	18Q YF 6439
1575	Mathurin	hamlet	617859826	CAYES-JACMEL	RAVINE NORMANDE	70	20	18Q	YF	18Q YF 7020
1546	Matnurin	hamlet	617857050	LEOGANE	BEAUSEJOUR	66	37	18Q	YF	18Q YF 6637
305	Matthieu	village	614694624	LEOGANE	GRANDE RIVIERE	54	46	18Q	YF	18Q YF 5446
88	Mayer	village	613506769	CROIX-DES-BOUQUES	VARREUX	93	60	18Q	YF	18Q YF 9360
1125	Mayombe	hamlet	616813236	BAINET	BAS DE GRIS GRIS	22	9	18Q	YF	18Q YF 2209
339	Mayombé	village	614753174	GRAND-GOAVE	GERARD	39	37	18Q	YF	18Q YF 3937
464	Mayor's Office	public_building	616956269	FORT LIBERTE	DUMAS	2	76	19Q	BB	19Q BB 0276
134	Mayotte	suburb	613666962	PETION-VILLE	BELLEVUE CHARD	88	49	18Q	YF	18Q YF 8849
1449	Mayotte	village	617788110	GRAND-GOAVE	TETE A BOUF	36	35	18Q	YF	18Q YF 3635
1399	Medecim	hamlet	617564504	LEOGANE	PALMISTE A VIN	48	39	18Q	YF	18Q YF 4839
174	Medical Center	doctors	48564191	PORT DE PAIX	AUBERT	27	7	18Q	YH	18Q YH 2707
265	Medical Center Boulevard la Salines	hospital	615325520	PORT-AU-PRINCE	TURGEAU	80	54	18Q	YF	18Q YF 8054
20	Medical Center Boulevard la Salines	hospital	615325520	PORT-AU-PRINCE	TURGEAU	80	54	18Q	YF	18Q YF 8054
661	Medical University at Tabarre	hospital	618095366	DELMAS	BELLEVUE	88	56	18Q	YF	18Q YF 8856
271	Medical University at Tabarre	university	615327354	DELMAS	BELLEVUE	88	56	18Q	YF	18Q YF 8856
1201	Meillac	village	617186781	FERRIER	BAS MARIBAJOUX	10	76	19Q	BB	19Q BB 1076
390	Melcourt	locality	615090366	JACMEL	LAVANEAU	57	18	18Q	YF	18Q YF 5718
835	Melon	hamlet	616620856	CROIX-DES-BOUQUES	BELLE FONTAINE	14	32	18Q	ZF	18Q ZF 1432
757	Mendos	hamlet	616582989	PORT-A-PIMENT	PARICOT	98	19	18Q	WF	18Q WF 9819
63	Ménélas	village	613328641	DELMAS	VARREUX	81	58	18Q	YF	18Q YF 8158
193	Mer Mapoe	village	614479963	CARREFOUR	RIVIERE FROIDE	68	52	18Q	YF	18Q YF 6852
1209	Merande	village	617186790	FERRIER	BAS MARIBAJOUX	10	70	19Q	BB	19Q BB 1070
143	Metevier	locality	613693075	PETION-VILLE	BELLEVUE CHARD	90	48	18Q	YF	18Q YF 9048
1145	Mexi	hamlet	616813649	AQUIN	FRANGIPANE	4	15	18Q	YF	18Q YF 0415
1605	Meyer	village	617865345	JACMEL	BAS CAP-ROUGE	65	17	18Q	YF	18Q YF 6517
125	Michaud	locality	613613561	CROIX-DES-BOUQUES	PETIT BOIS	94	55	18Q	YF	18Q YF 9455
273	Michel	village	614660547	CAYES-JACMEL	RAVINE NORMANDE	70	20	18Q	YF	18Q YF 7020
426	Midic Clinic	hospital	616852035	LEOGANE	DESSSOURCES	49	48	18Q	YF	18Q YF 4948
33	Midic Clinic	hospital	616852035	LEOGANE	DESSSOURCES	49	48	18Q	YF	18Q YF 4948
571	Mille Lieux	village	615896945	CROIX-DES-BOUQUES	BELLE FONTAINE	0	39	18Q	ZF	18Q ZF 0039
375	Milot	town	614932150	MILOT	BONNET A L'EVEQUE	92	70	18Q	YG	18Q YG 9270
