OBJECTID	NAME	TYPE	OSM_ID	COMMUNE	SECTION	E1000	N1000	GZD	GRID100K	MGRS
1436	Abraham	village	617765981	GRAND-GOAVE	TETE A BOUF	31	37	18Q	YF	18Q YF 3137
945	Abricot	village	616721343	ANSE-A-GALET	GRAND LAGON	9	85	18Q	YF	18Q YF 0985
854	Abricot	village	616679706	L'AZILE	TOURNADE	62	32	18Q	XF	18Q XF 6232
1751	Abricot	village	617913124	ABRICOTS	BALISIER	73	60	18Q	WF	18Q WF 7360
1777	Acul du Nord	village	618028176	ACUL DU NORD	BAS DE L'ACUL	79	78	18Q	YG	18Q YG 7978
357	Adieu au Monde	locality	614861227	MARIGOT	SAVANE DUBOIS	93	17	18Q	YF	18Q YF 9317
1059	Administration Générale des Contributions	collapsed	48277944	PORT-AU-PRINCE	TURGEAU	80	52	18Q	YF	18Q YF 8052
40	Administration Générale des Postes	 	48279462	PORT-AU-PRINCE	TURGEAU	80	53	18Q	YF	18Q YF 8053
43	Administration Portuaire	 	48279469	PORT-AU-PRINCE	TURGEAU	80	53	18Q	YF	18Q YF 8053
1707	Adonis	hamlet	617885449	AQUIN	FONDS DES BLANCS	94	24	18Q	XF	18Q XF 9424
528	Adventist Church	place_of_worship	617335621	OUANAMINTHE	HAUT MARIBAHOUX	13	64	19Q	BB	19Q BB 1364
144	Air Haiti	 	48492349	DELMAS	BELLEVUE	85	56	18Q	YF	18Q YF 8556
11	Albert-Schweitzer Hôpital	hospital	615075433	VERRETTES	BELANGER	63	10	18Q	YG	18Q YG 6310
1353	Aliome	locality	617433541	PETIT-GOAVE	TROU CANARI	19	34	18Q	YF	18Q YF 1934
664	Alma Mater	hospital	618158369	GROS MORNE	RIVIERE BLANCHE	43	76	18Q	YG	18Q YG 4376
54	ALPHA	works	48285105	DELMAS	ST. MARTIN	81	53	18Q	YF	18Q YF 8153
632	AM Radio Station	tower	617927229	CAP HAITIEN	HAUT DU CAP	93	88	18Q	YG	18Q YG 9388
287	Ambassade de Bolivie	embassy	615766621	PETION-VILLE	BELLEVUE CHARD	85	49	18Q	YF	18Q YF 8549
1060	Ambassade de France	collapsed	48277948	PORT-AU-PRINCE	TURGEAU	81	51	18Q	YF	18Q YF 8151
290	Ambassade de la République dominicaine	embassy	615803458	PETION-VILLE	BELLEVUE CHARD	85	49	18Q	YF	18Q YF 8549
6	Ambassade d'Espagne	embassy	48274603	PORT-AU-PRINCE	TURGEAU	81	50	18Q	YF	18Q YF 8150
291	Ambassade d'Israël	embassy	615814066	PETION-VILLE	BELLEVUE CHARD	85	50	18Q	YF	18Q YF 8550
288	Ambassade du Brésil	embassy	615778621	PETION-VILLE	BELLEVUE CHARD	87	49	18Q	YF	18Q YF 8749
55	Ambassade du Canada	embassy	48285107	DELMAS	ST. MARTIN	82	53	18Q	YF	18Q YF 8253
289	Ambassade du Chili	embassy	615789134	PORT-AU-PRINCE	TURGEAU	85	51	18Q	YF	18Q YF 8551
292	Ambassade du Mexique	embassy	615819938	PORT-AU-PRINCE	TURGEAU	85	51	18Q	YF	18Q YF 8551
377	American Church	place_of_worship	616417678	LEOGANE	DESSSOURCES	50	48	18Q	YF	18Q YF 5048
82	Amphithéatre	 	48330746	DELMAS	ST. MARTIN	81	54	18Q	YF	18Q YF 8154
460	Angibeau	village	615539722	CARREFOUR	TAIFER	71	48	18Q	YF	18Q YF 7148
731	Anglais	hamlet	616580223	LES ANGLAIS	EDELIN	87	26	18Q	WF	18Q WF 8726
256	Anne	village	614614543	CAYES-JACMEL	GAILLARD	78	22	18Q	YF	18Q YF 7822
1419	Annette	village	617731031	ROSEAUX	FOND COCHON	98	38	18Q	WF	18Q WF 9838
226	Ansagalèt	town	614558897	ANSE-A-GALET	PETITE SOURCE	25	83	18Q	YF	18Q YF 2583
1771	Anse a Foleur	village	618019860	ANSE A FOLEUR	MAYANCE	48	1	18Q	YH	18Q YH 4801
792	Anse D'hainault	town	616590933	ANSE-D'AINAULT	GRANDOIT	57	44	18Q	WF	18Q WF 5744
1259	Anse du Clerc	village	617231950	ABRICOTS	ANSE DU CLERC	76	62	18Q	WF	18Q WF 7662
1763	Anse Louis	hamlet	618009257	COTEAUX	DES PAS	0	14	18Q	XF	18Q XF 0014
1768	Anse Rouge	village	618014753	ANSE ROUGE	L'ARBRE	4	72	18Q	YG	18Q YG 0472
1582	Anse-à-Pitre	town	617862595	ANSE-A-PITRE	BOUCAN GUILLAUME	7	97	19Q	BV	19Q BV 0797
182	Anse-a-Veau	village	614471850	ANSE-A-VEAU	GRANDE RIVIERE	74	46	18Q	XF	18Q XF 7446
640	Antennor Firmin School	school	617931170	CAP HAITIEN	HAUT DU CAP	92	87	18Q	YG	18Q YG 9287
651	Aquin	town	616262652	AQUIN	BRODEQUIN	69	22	18Q	XF	18Q XF 6922
652	Aquin Vieux Bourg	village	616273261	AQUIN	BELLEVUE	75	24	18Q	XF	18Q XF 7524
32	Arcachon	suburb	613016827	CARREFOUR	THOR	74	51	18Q	YF	18Q YF 7451
5	Arcahaie	village	295323346	ARCAHAIE	DES VASES	62	77	18Q	YF	18Q YF 6277
46	Archives Nationales	 	48279482	PORT-AU-PRINCE	TURGEAU	81	52	18Q	YF	18Q YF 8152
1348	Areau	locality	617430302	PETIT-GOAVE	RAVINE SECHE	25	34	18Q	YF	18Q YF 2534
1527	Areguy	village	617857010	JACMEL	MONTAGNE LA VOUTE	58	25	18Q	YF	18Q YF 5825
256	Argentina Temporary Hospital	hospital	615165951	DELMAS	BELLEVUE	87	56	18Q	YF	18Q YF 8756
13	Argentina Temporary Hospital	hospital	615165951	DELMAS	BELLEVUE	87	56	18Q	YF	18Q YF 8756
1743	Arniquet	village	617911037	PORT-SALUT	DARBOIS	19	6	18Q	XF	18Q XF 1906
1206	Artaud	village	617186786	FERRIER	BAS MARIBAJOUX	11	75	19Q	BB	19Q BB 1175
47	Asile Communale	 	48285095	DELMAS	ST. MARTIN	81	53	18Q	YF	18Q YF 8153
323	Asile Communale (community home)	nursing_home	616066423	JACMEL	MONTAGNE LA VOUTE	60	18	18Q	YF	18Q YF 6018
326	Asile de Sigueneau	locality	614704703	LEOGANE	GRANDE RIVIERE	52	48	18Q	YF	18Q YF 5248
17	Asile Français	hospital	48276805	PORT-AU-PRINCE	TURGEAU	80	51	18Q	YF	18Q YF 8051
844	Au Codor	hamlet	616620869	GANTHIER	MARE ROSEAUX	15	40	18Q	ZF	18Q ZF 1540
1036	Au Parc	hamlet	616782900	ANSE-A-GALET	PETITE ANSE	28	71	18Q	YF	18Q YF 2871
109	Au Source Nord	village	613588250	DESDUNES	DESDUNES	43	39	18Q	YG	18Q YG 4339
631	Auberce de Recolet	school	617927009	CAP HAITIEN	BANDE DU NORD	93	88	18Q	YG	18Q YG 9388
146	Auberge du Choubouloute	hotel	614403864	JACMEL	BAS CAP-ROUGE	60	17	18Q	YF	18Q YF 6017
772	Aubin	hamlet	616584912	CHARDONNIERES	DEJOIE	92	24	18Q	WF	18Q WF 9224
6	Aubry	town	295323576	CABARET	SOURCE MATELAS	76	72	18Q	YF	18Q YF 7672
631	Aumond	village	615920420	SAUT-D'EAU	RIVIERE CANOT	93	80	18Q	YF	18Q YF 9380
328	Aux Plaines	village	614705160	LA TORTUE	LA TORTUE / POINTE D	44	14	18Q	YH	18Q YH 4414
802	Babino	hamlet	616590969	CHAMBELLAN	BOUCAN	66	45	18Q	WF	18Q WF 6645
998	Babiole	suburb	616735066	PORT-AU-PRINCE	TURGEAU	81	51	18Q	YF	18Q YF 8151
1122	Bac Bois	hamlet	616813233	COTE-DE-FER	GRIS GRIS	13	14	18Q	YF	18Q YF 1314
51	Bac D'Aquin	town	613232629	GRANDE SALINE	POTENEAU	48	27	18Q	YG	18Q YG 4827
175	Bacardere d'Lom	village	614470615	PETIT-GOAVE	TROU CHOUCHOU	18	41	18Q	YF	18Q YF 1841
743	Bacilier	hamlet	616581799	LES ANGLAIS	EDELIN	88	31	18Q	WF	18Q WF 8831
807	Bahon	town	616594584	BAHON	BALLY	2	55	18Q	ZG	18Q ZG 0255
1766	Baie de Henne	village	618014750	BAIE DE HENNE	DOS D'ANE	87	75	18Q	XG	18Q XG 8775
515	Baie d'Orange	village	615740996	BELLE ANSE	BAIS D'ORANGE	93	23	18Q	YF	18Q YF 9323
691	Baile	village	616390937	LA CHAPELLE	BOSSOUS	78	91	18Q	YF	18Q YF 7891
1434	Baille	village	617765960	PETIT-GOAVE	DES PALMES	28	39	18Q	YF	18Q YF 2839
355	Bainet	village	614854968	BAINET	BAS GRANDOU	37	12	18Q	YF	18Q YF 3712
784	Balais	hamlet	616584973	PORT-A-PIMENT	BALAIS	0	23	18Q	XF	18Q XF 0023
606	Balan	village	615909202	GANTHIER	BALAN	9	55	18Q	ZF	18Q ZF 0955
1716	Balangnin	hamlet	617885458	AQUIN	FONDS DES BLANCS	96	23	18Q	XF	18Q XF 9623
662	Balice	hamlet	616356471	LES CAYES	DORY	33	30	18Q	XF	18Q XF 3330
588	Balisaille	village	615904953	GANTHIER	PAYS POURRI	11	46	18Q	ZF	18Q ZF 1146
644	Balleye	village	615930157	CABARET	BOUCASSIN	69	71	18Q	YF	18Q YF 6971
1362	Bananier	hamlet	617516740	LES IROIS	MATADOR / JORGUE	61	38	18Q	WF	18Q WF 6138
464	Banga	village	615539784	KENSCOFF	BONGARS	79	41	18Q	YF	18Q YF 7941
852	Banlieu	hamlet	616679704	L'AZILE	TOURNADE	67	32	18Q	XF	18Q XF 6732
37	Banque de la République d'Haiti	bank	48279452	PORT-AU-PRINCE	TURGEAU	80	52	18Q	YF	18Q YF 8052
42	Banque de l'Union Haitienne SA	 	48279466	PORT-AU-PRINCE	TURGEAU	80	53	18Q	YF	18Q YF 8053
489	Banque National	bank	617137628	FORT LIBERTE	DUMAS	2	77	19Q	BB	19Q BB 0277
242	Banque National	bank	615050968	CAP HAITIEN	HAUT DU CAP	93	87	18Q	YG	18Q YG 9387
163	Banque Nationale	bank	48561137	PORT DE PAIX	AUBERT	27	6	18Q	YH	18Q YH 2706
130	Banque Nationale	bank	48375256	GONAIVES	PONT TAMARIN	41	51	18Q	YG	18Q YG 4151
355	Banque Nationale	bank	616290504	LES CAYES	BOURDET	32	11	18Q	XF	18Q XF 3211
145	Banque Nationale d'Haïti	bank	614403854	JACMEL	BAS CAP-ROUGE	60	17	18Q	YF	18Q YF 6017
516	Baptist Church	place_of_worship	617332018	OUANAMINTHE	HAUT MARIBAHOUX	14	63	19Q	BB	19Q BB 1463
514	Baptist School	school	617310354	FORT LIBERTE	DUMAS	2	76	19Q	BB	19Q BB 0276
812	Baque	hamlet	616620748	KENSCOFF	BELLE FONTAINE	90	33	18Q	YF	18Q YF 9033
1757	Baraderes	village	617914635	BARADERES	GERIN	43	44	18Q	XF	18Q XF 4344
1495	Bareau	village	617824771	BAINET	TROU MAHOT	40	17	18Q	YF	18Q YF 4017
1354	Baret	village	617433636	PETIT-GOAVE	BINO (PREMIERE PLAIN	20	37	18Q	YF	18Q YF 2037
1404	Barrier Batin	locality	617564509	LEOGANE	CORMIERS	51	38	18Q	YF	18Q YF 5138
1236	Barrier Jeud	hamlet	617199581	LEOGANE	CORMIERS	50	40	18Q	YF	18Q YF 5040
1545	Barriere	hamlet	617857049	JACMEL	GRANDE RIV. DE JACME	65	34	18Q	YF	18Q YF 6534
980	Barriere Battant	hamlet	616722363	POINTE A RAQUETTE	POINTE A RAQUETTE	3	82	18Q	YF	18Q YF 0382
174	Bas Chauto	village	614469204	MARIGOT	MACARY	86	26	18Q	YF	18Q YF 8626
1554	Bas Duble	hamlet	617857091	LEOGANE	FOND D'OIE	56	33	18Q	YF	18Q YF 5633
1322	Bas Gougeon	village	617410218	CARREFOUR	MALANGA	71	38	18Q	YF	18Q YF 7138
212	Bas la Voute	village	614495824	JACMEL	COCHON GRAS	66	28	18Q	YF	18Q YF 6628
841	Bas Laleau	hamlet	616620862	CROIX-DES-BOUQUES	BELLE FONTAINE	16	36	18Q	ZF	18Q ZF 1636
1515	Bas Lavroute	village	617832254	JACMEL	MONTAGNE LA VOUTE	61	27	18Q	YF	18Q YF 6127
1780	Bas Limbe	village	618028179	BAS LIMBE	PETIT HOVARA / LA FA	76	90	18Q	YG	18Q YG 7690
1411	Bas Matel	hamlet	617564516	LEOGANE	CORMIERS	51	38	18Q	YF	18Q YF 5138
1000	Bas Peu De Choses	suburb	616735602	PORT-AU-PRINCE	TURGEAU	80	51	18Q	YF	18Q YF 8051
1500	Bas Thomas	village	617828894	MARIGOT	CORAIL SOULT	81	19	18Q	YF	18Q YF 8119
1281	Basie	hamlet	617376111	ANSE-D'AINAULT	MANDOU	56	38	18Q	WF	18Q WF 5638
1061	Basilique Notre-Dame	collapsed	27937322	PORT-AU-PRINCE	TURGEAU	80	53	18Q	YF	18Q YF 8053
1	Basilique Notre-Dame	collapsed	27937322	PORT-AU-PRINCE	TURGEAU	80	53	18Q	YF	18Q YF 8053
68	Bassan	locality	613328647	DELMAS	VARREUX	82	59	18Q	YF	18Q YF 8259
1492	Basse	village	617824376	BAINET	TROU MAHOT	39	18	18Q	YF	18Q YF 3918
321	Basse Terre	village	614703050	LA TORTUE	LA TORTUE / POINTE D	38	14	18Q	YH	18Q YH 3814
1536	Bassin	locality	617857034	JACMEL	COCHON GRAS	62	30	18Q	YF	18Q YF 6230
1078	Bassin Bleu	hamlet	616809446	JACMEL	LA MONTAGNE	53	17	18Q	YF	18Q YF 5317
1769	Bassin Bleu	village	618014754	BASSIN BLEU	LA PLATE	31	90	18Q	YG	18Q YG 3190
1396	Bassin Boeuf	hamlet	617564500	LEOGANE	GROS MORNE	56	39	18Q	YF	18Q YF 5639
152	Bassin Caiman	locality	613993342	JACMEL	MONTAGNE LA VOUTE	60	19	18Q	YF	18Q YF 6019
1558	Bassin Caiman	village	617857636	JACMEL	MONTAGNE LA VOUTE	59	20	18Q	YF	18Q YF 5920
296	Bassin Chevel	village	614683320	LA TORTUE	MARE ROUGE	22	21	18Q	YH	18Q YH 2221
575	Baucan Greffin	village	615896961	CROIX-DES-BOUQUES	BELLE FONTAINE	10	36	18Q	ZF	18Q ZF 1036
166	Baudin	village	614414436	GRAND-GOAVE	GRANDE COLLINE	41	25	18Q	YF	18Q YF 4125
1268	Baupant	village	617310157	LEOGANE	BEAUSEJOUR	62	38	18Q	YF	18Q YF 6238
1238	Baussan	hamlet	617203104	LEOGANE	DESSSOURCES	48	45	18Q	YF	18Q YF 4845
576	Bayard	village	615904889	CROIX-DES-BOUQUES	BELLE FONTAINE	0	41	18Q	ZF	18Q ZF 0041
1544	Beau Sejour	locality	617857047	JACMEL	GRANDE RIV. DE JACME	61	34	18Q	YF	18Q YF 6134
1266	Beau Sejour	village	617310155	LEOGANE	BEAUSEJOUR	61	37	18Q	YF	18Q YF 6137
1006	Beaucalin	village	616742213	JEREMIE	MARFRANC / GRANDE RI	82	54	18Q	WF	18Q WF 8254
637	Beauger	village	615922676	CROIX-DES-BOUQUES	ORANGERS	84	74	18Q	YF	18Q YF 8474
1181	Beaumont	village	616991846	BEAUMONT	BEAUMONT	10	43	18Q	XF	18Q XF 1043
340	Beauséjour	village	614753179	LEOGANE	CITRONIER	60	38	18Q	YF	18Q YF 6038
1143	Bel Air	hamlet	616813647	AQUIN	FRANGIPANE	5	14	18Q	YF	18Q YF 0514
995	Bel Air	suburb	616730335	PORT-AU-PRINCE	TURGEAU	81	53	18Q	YF	18Q YF 8153
586	Bel Fond	village	615904926	GANTHIER	MARE ROSEAUX	9	45	18Q	ZF	18Q ZF 0945
1024	Bel Platon	hamlet	616779047	ANSE-A-GALET	PALMA	25	79	18Q	YF	18Q YF 2579
1677	Belair	hamlet	617878376	PETIT-GOAVE	DES PLATONS	21	31	18Q	YF	18Q YF 2131
1522	Belair	village	617832376	JACMEL	MONTAGNE LA VOUTE	63	28	18Q	YF	18Q YF 6328
503	Belekou	suburb	615732856	DELMAS	VARREUX	81	55	18Q	YF	18Q YF 8155
768	Béléo	hamlet	616583700	LES ANGLAIS	COSSE	82	28	18Q	WF	18Q WF 8228
849	Belladère	town	616637006	BELLADERE	RENTHE MATHE	8	88	19Q	BA	19Q BA 0888
91	Bellanium	village	613506772	CROIX-DES-BOUQUES	PETIT BOIS	96	57	18Q	YF	18Q YF 9657
432	Bellanton	village	615161133	CROIX-DES-BOUQUES	PETIT BOIS	95	57	18Q	YF	18Q YF 9557
726	Belle Dent	hamlet	616580218	CHARDONNIERES	BONY	86	22	18Q	WF	18Q WF 8622
577	Belle Fontaine	village	615904891	CROIX-DES-BOUQUES	BELLE FONTAINE	2	42	18Q	ZF	18Q ZF 0242
1309	Belle Fortune	village	617398579	LEOGANE	PARQUES	66	39	18Q	YF	18Q YF 6639
1304	Belle Fortune	village	617393940	LEOGANE	GRANDE RIVIERE	54	45	18Q	YF	18Q YF 5445
159	Belle Ville	suburb	614108163	CARREFOUR	THOR	76	49	18Q	YF	18Q YF 7649
359	Belle-Anse	town	614867157	BELLE ANSE	BELAIR	10	19	18Q	ZF	18Q ZF 1019
1709	Bellegarde	hamlet	617885451	AQUIN	FONDS DES BLANCS	94	25	18Q	XF	18Q XF 9425
1486	Bellevue	village	617819926	BOUCAN CARRE	BOUCAN CARRE	1	91	18Q	ZF	18Q ZF 0191
200	Bellevue	village	614494453	GRESSIER	MORNE CHANDELLE	69	45	18Q	YF	18Q YF 6945
1647	Bellevue	village	617874041	LEOGANE	PALMISTE A VIN	43	40	18Q	YF	18Q YF 4340
405	Bellevue La Mantagne	village	615143491	PETION-VILLE	BELLEVUE LA MONTAGNE	87	44	18Q	YF	18Q YF 8744
769	Bellevue Station	locality	616583701	LES ANGLAIS	COSSE	85	32	18Q	WF	18Q WF 8532
286	Beloc	village	614671791	LEOGANE	FOND D'OIE	54	33	18Q	YF	18Q YF 5433
774	Belsue	hamlet	616584917	CHARDONNIERES	RANDEL	95	25	18Q	WF	18Q WF 9525
747	Benoit	hamlet	616582979	CHARDONNIERES	DEJOIE	95	19	18Q	WF	18Q WF 9519
202	Berauli	village	614494455	GRESSIER	MORNE CHANDELLE	64	48	18Q	YF	18Q YF 6448
1540	Bercy	hamlet	617857041	CARREFOUR	MALANGA	73	34	18Q	YF	18Q YF 7334
1130	Bercy	hamlet	616813241	BAINET	BAS DE GRIS GRIS	24	12	18Q	YF	18Q YF 2412
1398	Bergeotte	hamlet	617564502	LEOGANE	ORANGERS	60	40	18Q	YF	18Q YF 6040
1710	Bernadel	hamlet	617885452	AQUIN	FONDS DES BLANCS	96	25	18Q	XF	18Q XF 9625
1234	Bernard	hamlet	617199570	LEOGANE	GRANDE RIVIERE	54	42	18Q	YF	18Q YF 5442
1287	Bernard	hamlet	617376190	ANSE-D'AINAULT	MANDOU	59	38	18Q	WF	18Q WF 5938
285	Bernard	locality	614671790	LEOGANE	FOND D'OIE	55	32	18Q	YF	18Q YF 5532
201	Berot	village	614494454	CARREFOUR	CORAIL THOR	69	46	18Q	YF	18Q YF 6946
481	Berry	village	615597769	MARIGOT	FOND JEAN-NOEL	89	26	18Q	YF	18Q YF 8926
16	Berthe	suburb	613002999	PETION-VILLE	BELLEVUE CHARD	87	49	18Q	YF	18Q YF 8749
56	Bertrande	village	613235108	SAINT-MARC	BOCOZELLE	48	20	18Q	YG	18Q YG 4820
1387	Bertrano	hamlet	617533754	TIBURON	LOBY	70	26	18Q	WF	18Q WF 7026
85	Beudet	village	613506766	CROIX-DES-BOUQUES	VARREUX	93	59	18Q	YF	18Q YF 9359
178	Bezin	village	614471317	PETITE RIVIERE DE NIPPES	BEZIN	95	43	18Q	XF	18Q XF 9543
238	Bibliotheque	library	615049980	CAP HAITIEN	HAUT DU CAP	93	87	18Q	YG	18Q YG 9387
457	Bibliothèque	library	616952956	FORT LIBERTE	DUMAS	2	76	19Q	BB	19Q BB 0276
151	Bibliothèque	library	614434702	GONAIVES	PONT TAMARIN	42	52	18Q	YG	18Q YG 4252
629	Bien Aime	village	615920416	MIREBALAIS	GRAND BOUCAN	95	73	18Q	YF	18Q YF 9573
320	Bien Compte	village	614703037	LA TORTUE	LA TORTUE / POINTE D	37	16	18Q	YH	18Q YH 3716
1400	Bigonet	hamlet	617564505	LEOGANE	CORMIERS	50	39	18Q	YF	18Q YF 5039
1099	Bigot	hamlet	616811772	BAINET	ORANGERS	28	15	18Q	YF	18Q YF 2815
185	Bigot	village	614472256	GONAIVES	PONT TAMARIN	44	52	18Q	YG	18Q YG 4452
1355	Bineau Noire	village	617433886	PETIT-GOAVE	BINO (PREMIERE PLAIN	19	39	18Q	YF	18Q YF 1939
1245	Binot	village	617203128	LEOGANE	DESSSOURCES	49	44	18Q	YF	18Q YF 4944
1519	Biscaillant	village	617832330	JACMEL	MONTAGNE LA VOUTE	63	27	18Q	YF	18Q YF 6327
1508	Bistouri	village	617832190	PETIT-GOAVE	DES PLATONS	19	27	18Q	YF	18Q YF 1927
100	Bizoton	suburb	613526386	CARREFOUR	THOR	76	50	18Q	YF	18Q YF 7650
1383	Blacktote	hamlet	617533606	TIBURON	BLACKTOTE	71	25	18Q	WF	18Q WF 7125
1680	Blaise	hamlet	617878528	PETIT-GOAVE	TROU CANARI	16	29	18Q	YF	18Q YF 1629
62	Blanchard	suburb	613328640	DELMAS	VARREUX	83	58	18Q	YF	18Q YF 8358
592	Blanchard	village	615909107	GANTHIER	GALETTE CHAMBON	5	50	18Q	ZF	18Q ZF 0550
126	Blanchard Public Health Clinic	hospital	614381341	DELMAS	VARREUX	83	58	18Q	YF	18Q YF 8358
897	Blecke	hamlet	616680894	THIOTTE	POT DE CHAMBRE	97	16	19Q	AA	19Q AA 9716
1617	Blockauss	hamlet	617870738	BAINET	TROU MAHOT	42	21	18Q	YF	18Q YF 4221
730	Boco	hamlet	616580222	LES ANGLAIS	VERONE	88	25	18Q	WF	18Q WF 8825
883	Bodaire	hamlet	616680860	GRAND GOSIER	COLLINE DES CHAINES	93	21	19Q	AA	19Q AA 9321
1593	Bodary	locality	617863691	MARIGOT	CORAIL SOULT	81	20	18Q	YF	18Q YF 8120
276	Bodin	locality	614663797	JACMEL	LAVANEAU	56	21	18Q	YF	18Q YF 5621
1088	Bodor	hamlet	616810500	BAINET	BRESILIENNE	46	15	18Q	YF	18Q YF 4615
578	Boidine	village	615904894	CROIX-DES-BOUQUES	BELLE FONTAINE	1	44	18Q	ZF	18Q ZF 0144
1725	Boirond	hamlet	617886034	AQUIN	LA COLLINE	91	24	18Q	XF	18Q XF 9124
214	Bois Bayard	village	614502003	JACMEL	BAS CAP-ROUGE	64	17	18Q	YF	18Q YF 6417
828	Bois Blanc	hamlet	616620839	GANTHIER	PAYS POURRI	9	47	18Q	ZF	18Q ZF 0947
1051	Bois Brule	hamlet	616782917	ANSE-A-GALET	PALMA	22	78	18Q	YF	18Q YF 2278
964	Bois Brule	hamlet	616722113	ANSE-A-GALET	GRAND LAGON	11	82	18Q	YF	18Q YF 1182
1539	Bois Capable	hamlet	617857040	CARREFOUR	MALANGA	71	34	18Q	YF	18Q YF 7134
145	Bois Caradeux	suburb	613705644	DELMAS	ST. MARTIN	85	53	18Q	YF	18Q YF 8553
1649	Bois Carre	hamlet	617874053	LEOGANE	PALMISTE A VIN	45	40	18Q	YF	18Q YF 4540
1511	Bois Casse	village	617832243	JACMEL	BAS CAP-ROUGE	62	23	18Q	YF	18Q YF 6223
1529	Bois Cerceuil	hamlet	617857015	JACMEL	BAS COQ CHANTE	58	28	18Q	YF	18Q YF 5828
1054	Bois Chandelle	hamlet	616782920	ANSE-A-GALET	PICMY	20	74	18Q	YF	18Q YF 2074
724	Bois Cochon	hamlet	616580216	LES ANGLAIS	EDELIN	86	27	18Q	WF	18Q WF 8627
928	Bois Codéine	hamlet	616680960	ANSE-A-PITRE	BOIS D'ORME	7	20	19Q	BA	19Q BA 0720
560	Bois Conte	village	615887619	BELLE ANSE	BELAIR	11	25	18Q	ZF	18Q ZF 1125
1646	Bois Crabe	hamlet	617873963	LEOGANE	PALMISTE A VIN	44	37	18Q	YF	18Q YF 4437
168	Bois Credit	locality	614440589	JACMEL	BAS CAP-ROUGE	61	17	18Q	YF	18Q YF 6117
424	Bois D'Avril	village	615145847	KENSCOFF	BONGARS	82	41	18Q	YF	18Q YF 8241
748	Bois De Chêne	hamlet	616582980	CHARDONNIERES	DEJOIE	94	20	18Q	WF	18Q WF 9420
741	Bois Déla	hamlet	616580505	LES ANGLAIS	EDELIN	92	30	18Q	WF	18Q WF 9230
1140	Bois d'Orme	hamlet	616813644	AQUIN	FLAMANT	92	15	18Q	XF	18Q XF 9215
546	Bois d'Orme	village	615865731	THOMAZEAU	GRANDE PLAINE	99	68	18Q	YF	18Q YF 9968
1013	Bois d'Orme	village	616777890	ANSE-A-GALET	PETITE SOURCE	20	81	18Q	YF	18Q YF 2081
562	Bois Larne	village	615896910	CROIX-DES-BOUQUES	BELLE FONTAINE	3	31	18Q	ZF	18Q ZF 0331
1565	Bois Larue	hamlet	617858269	JACMEL	BAS CAP-ROUGE	62	20	18Q	YF	18Q YF 6220
596	Bois Leger	village	615909140	GANTHIER	BALAN	3	55	18Q	ZF	18Q ZF 0355
745	Bois Marguerite	village	616582977	PORT-A-PIMENT	PARICOT	95	18	18Q	WF	18Q WF 9518
1452	Bois Néguesse	village	617788147	GRAND-GOAVE	GERARD	37	36	18Q	YF	18Q YF 3736
438	Bois Neuf	suburb	615170245	PETION-VILLE	BELLEVUE CHARD	88	50	18Q	YF	18Q YF 8850
507	Bois Neuf	suburb	615732897	DELMAS	VARREUX	81	56	18Q	YF	18Q YF 8156
595	Bois Nicolas	village	615909129	THOMAZEAU	GRANDE PLAINE	0	57	18Q	ZF	18Q ZF 0057
37	Bois Patate	suburb	613205101	PORT-AU-PRINCE	TURGEAU	82	51	18Q	YF	18Q YF 8251
558	Bois Paul	village	615887591	CROIX-DES-BOUQUES	BELLE FONTAINE	9	28	18Q	ZF	18Q ZF 0928
565	Bois Pins	village	615896921	CROIX-DES-BOUQUES	BELLE FONTAINE	8	31	18Q	ZF	18Q ZF 0831
877	Bois Tombé	hamlet	616680849	BELLE ANSE	MAPOU	86	23	19Q	AA	19Q AA 8623
996	Bois Verna	suburb	616733015	PORT-AU-PRINCE	TURGEAU	81	51	18Q	YF	18Q YF 8151
156	Bois Vital	locality	614005334	JACMEL	BAS CAP-ROUGE	62	19	18Q	YF	18Q YF 6219
14	Bois-Moquette	suburb	613002781	PETION-VILLE	BELLEVUE CHARD	87	48	18Q	YF	18Q YF 8748
1001	Bolosse	suburb	616736512	PORT-AU-PRINCE	MARTISSANT	79	50	18Q	YF	18Q YF 7950
1091	Bommier	hamlet	616810509	BAINET	BRESILIENNE	43	13	18Q	YF	18Q YF 4313
1425	Bon Pas	hamlet	617755854	LES ANGLAIS	VERONE	90	26	18Q	WF	18Q WF 9026
1421	Bon Pas	hamlet	617745476	TIBURON	DALMETTE	75	23	18Q	WF	18Q WF 7523
75	Bon Repos	village	613385706	CROIX-DES-BOUQUES	VARREUX	87	61	18Q	YF	18Q YF 8761
1752	Bonbon	village	617913125	JEREMIE	FOND ROUGE DE TORBERC	82	63	18Q	WF	18Q WF 8263
416	Bonga	village	615145839	KENSCOFF	BONGARS	79	40	18Q	YF	18Q YF 7940
123	Bongris	hamlet	613597922	GONAIVES	PONT TAMARIN	46	52	18Q	YG	18Q YG 4652
1666	Bonhomme	hamlet	617876967	GRAND-GOAVE	GERARD	38	35	18Q	YF	18Q YF 3835
1731	Bonnefi	hamlet	617886066	AQUIN	LA COLLINE	86	27	18Q	XF	18Q XF 8627
598	Bonnet	village	615909154	GANTHIER	GALETTE CHAMBON	4	53	18Q	ZF	18Q ZF 0453
